Country,Year,corruption_and_economic_crime,intentional_homicide,violent_and_sexual_crime,firearms_trafficking,access_and_functioning_of_justice
Dominica,2019,51958.72222222222,5.390106498019271,5352.0265287894235,99.41178282992333,206.3336346331317
Dominica,2020,38355.1,6.876302776538093,61134.21880646917,70.6120415646167,161.01513178340468
Dominica,2021,13193.8,3.986250665167841,37182.26238486609,48.99396802466776,153.72600517841724
Dominica,2022,83762.95,9.330518609213588,20703.912021436354,16.65842119312155,165.4764758634031
Dominica,2023,46246.2959845233,5.636785122988578,17425.15413733056,36531.56395709596,162.3116763518542
Dominican Republic,2019,6723.222222222223,72.53593224555397,68095.96764903322,7682.743781279893,658.0379350604684
Dominican Republic,2020,133031.625,69.12961067538046,80465.2936948431,3396.8361261468185,508.97700842505344
Dominican Republic,2021,9464.0,93.97458732454676,42518.156971015065,2648.387369306754,668.4160876449757
Dominican Republic,2022,6869.0,107.41588650674665,64813.72619902529,15663.75316117153,660.127204101372
Dominican Republic,2023,23283.978849064526,113.6415529661139,130262.98188130245,19642.614325821414,1393.2884003159222
Ecuador,2019,17047.10066666667,89.62358164784729,67368.56325255676,10527.984797977151,4383.069749691847
Ecuador,2020,23703.63333333333,103.7436974038145,73665.82038436263,7344.452977118929,3904.6903253023634
Ecuador,2021,30336.62,147.91150247599592,12573.400220847172,6463.203301102351,4153.545046318019
Ecuador,2022,12448.266666666666,289.4956807675009,16064.333333333334,5538.63588097245,4462.459201882871
Ecuador,2023,33994.85,717.6102676346466,7510.409090909091,3042.03452150896,4234.797444712853
Egypt,2020,27111.53649962132,69.62841460319412,28503.32563679198,27670.308403878564,5910.633086806889
Egypt,2021,49617.94423186049,127.7321099207776,94490.15899782181,6913.654628480486,8107.40673440152
El Salvador,2019,7.472463272727272,160.14910799588614,696.1833333333333,3447.340653141356,743.9723908914482
El Salvador,2020,11.744250029411765,91.44697047584226,40516.655179624286,3214.265869075444,607.8153508947743
El Salvador,2021,3.393871970588235,83.23324605648529,310.1774193548387,3183.167056574591,726.7371977384735
El Salvador,2022,13.65245615,42.10703862296925,597.8548387096774,8314.048389652922,814.8422579937269
El Salvador,2023,36672.79908730784,877.2695817814081,36788.39491861487,252.18574184553816,11941.607088564433
Estonia,2019,55286.0,5.120818730608004,81738.74773538974,673.4835447007556,88.71786728659431
Estonia,2020,41829.0,5.319875363039521,6298.005643563909,367.06748925653454,82.61171159449772
Estonia,2021,29702.068965517243,3.379763323654506,54909.06185311382,338.23934597865264,85.64877266082448
Estonia,2022,8755.23076923077,2.8475322931261493,34645.44124940831,306.7096359766472,78.67555819364836
Estonia,2023,70242.94444444444,2.592916488750062,28903.029191407466,212.4516760056825,97.74538715248826
Eswatini,2021,2.4735364444444445,15.608742763195458,45364.74871432461,20553.360308250005,647.4707763702799
Fiji,2020,28399.728357297023,6.283828028475009,127755.16912388675,33611.79038867161,1577.565812054123
Fiji,2021,2991.0,3.721773269124456,7939.60135600403,17506.00149658771,1395.256650651815
Fiji,2022,8483.387063660686,8.37110956170099,20871.92302851855,12653.626168520117,3294.140345295289
Fiji,2023,18712.551092373655,4.2945249259037634,38063.75454707195,5656.464215358805,11997.093972235383
Finland,2019,79788.84375,7.967714659683031,4205.0,19925.80388527419,537.2221193345006
Finland,2020,80808.25,8.039496582382878,32306.177392760826,16472.636426219506,564.8679028392762
Finland,2021,48853.36363636364,6.207286918858488,51045.785941757276,11590.67800103502,647.7830694071743
Finland,2022,30663.5625,5.980969584723012,1651.5892510178855,11028.52310124692,668.0245918996334
Finland,2023,86725.1,20.09861465767747,76500.0569987158,4586.8623668388345,1168.4956611417351
France,2019,59019.43333333333,60.65963495669662,625.2456140350877,106821.63492603094,34499.95830678257
France,2020,23987.9,56.37378597327432,91571.60160309567,88320.45871263953,33417.38765719484
France,2021,36095.93548387097,60.58824292676889,4398.0,108571.79081885098,38866.47366517709
France,2022,23185.4,67.6606691088628,4013.5,93232.98086632746,42717.6486878843
France,2023,6851.681818181818,76.12612029871603,4876.571428571428,34017.67697557182,59272.651231082935
France,2024,5168.148676504246,220.5,72033.63052068271,9945.720832644465,13754.462322569996
French Guiana,2019,11788.197279989909,25.50604055025775,23812.281507592903,3210.394715413602,1371.3440199234078
French Guiana,2020,43303.13755946458,26.04354991524985,73647.8848106463,21408.42646449609,13789.997402394778
French Polynesia,2021,9.979854,905.2141584684443,48249.79621418854,17540.67935510877,13595.703687574927
Gambia,2020,533.0,84.5217500780048,6762.253024646958,20195.39985239787,2900.207280796136
Georgia,2019,939.375,24.74118444524322,95.07272727272728,2710.177546538758,376.0247702953008
Georgia,2020,69447.16759700091,12.591651355633497,11972.977768654635,4568.258379945508,8771.27834637447
Germany,2019,70765.23333333334,46.20495691631911,10038.432029270552,153322.38239561592,10033.33768415127
Germany,2020,55003.86666666667,54.22269044938076,11077.386940580804,136473.67506060976,9770.392997321063
Germany,2021,62257.35483870968,46.83519026452878,66926.1104196652,151465.3649354966,9943.274043356663
Germany,2022,97392.76666666666,46.0148681156954,88188.88451104361,126065.2148314972,11617.438214146505
Germany,2023,47992.16666666666,58.25244826865679,19745.694880723404,20505.263257812017,21974.459738885605
Ghana,2019,55739.99018752046,286.4133385659689,13085.752394430947,18692.146110265297,5887.190226256303
Ghana,2020,16746.40626848523,185.8704945665148,46523.73410089128,29076.993710843984,4471.908611798948
Ghana,2021,9505.666666666666,201.9274660232892,48843.90701217143,27600.720655341214,4894.170870150009
Ghana,2022,40849.686257366564,203.24913060709693,43669.40785054915,28753.79681857198,3406.5586046895714
Gibraltar,2024,9846.280098768651,397.7227144717228,1.0,36000.62245648177,16080.190579994998
Greece,2019,466.1071428571428,11.85137066264396,2857.095238095238,10705.379333913255,125.89342370278186
Greece,2020,449.78125,11.70676743993101,1311.2209302325582,8853.578672681104,122.46991995712372
Greece,2021,1488.6666666666667,11.339685278547408,1132.8170731707316,6829.441701176077,209.6295710505694
